,Year,Coal Prod,Gas Prod,Oil Prod
395,2105,15.723473209706915,4.196560104618597,2.8006202126692603
396,2106,14.903528942498646,4.092071749385654,2.8174291596876473
397,2107,14.086673886981742,3.969945257301801,2.833333555281775
398,2108,13.325749080659866,3.843885618464919,2.8468623412801763
399,2109,12.591155795729897,3.724558758035394,2.855236604232285
400,2110,11.91225753865955,3.606024551009674,2.8639561382246947
401,2111,11.35440266914185,3.500516620356038,2.8627993860109315
402,2112,10.863160000422777,3.3861030045186142,2.854211006533901
403,2113,10.417838947606345,3.2701284387080474,2.839899175264713
404,2114,10.043053031392772,3.1654852665554345,2.819830946872017
405,2115,9.642274379030155,3.0593197129575684,2.794173246952985
406,2116,9.226765085700857,2.9484949152018483,2.7652666889375874
407,2117,8.83586896068844,2.8348342233270656,2.735495386764997
408,2118,8.397408817410893,2.716055941612407,2.7027081610436725
409,2119,7.971921266751355,2.6026019105307365,2.670256231763373
410,2120,7.573286524308124,2.493778305511343,2.635421229620361
411,2121,7.1782636533876785,2.383191265846456,2.600291452841857
412,2122,6.811122378224276,2.2825493701766857,2.5625394619241133
413,2123,6.44186479892154,2.178343234037663,2.522405948158668
414,2124,6.077773136016117,2.0851742756267173,2.4820666656270376
415,2125,5.723748792256646,1.9880782737445768,2.439610306903311
416,2126,5.374648687379878,1.9005711197138466,2.3971287124124805
417,2127,5.046480947825723,1.806685469523279,2.354726989402382
418,2128,4.724207288837836,1.722456195052349,2.3122620441491266
419,2129,4.422252969896325,1.6323467795248408,2.267650348321996
420,2130,4.140669211376156,1.549009287716595,2.2211645603518915
421,2131,3.86052648397985,1.4692899358836098,2.172829010197888
422,2132,3.6049696176033637,1.386087431845803,2.123025944762367
423,2133,3.3527148532111215,1.310812586952156,2.0739317089966405
424,2134,3.1103087411814494,1.2372358639669048,2.026079146720144
425,2135,2.884120919546213,1.1687759871861583,1.9797183974573507
426,2136,2.6652813274301486,1.1016324533407464,1.9356355911838878
427,2137,2.4654438979582562,1.0405194499323114,1.8942699074384173
428,2138,2.270680561913751,0.9818441977985649,1.8569019261174096
429,2139,2.0863015364666153,0.9228995304333627,1.8232019407626165
430,2140,1.9089620311822297,0.86589578074592,1.789695406557029
431,2141,1.737795589985592,0.8116842589414093,1.7555285675999541
432,2142,1.5761824259201314,0.7599166924988889,1.7173422246093244
433,2143,1.4226301714479752,0.7109167429873292,1.670264142116411
434,2144,1.2757735819856233,0.6643793988082872,1.617295075649811
435,2145,1.134650083376695,0.6201021814403511,1.5587474545818336
436,2146,1.0006937668615923,0.5783417184806425,1.4959648609193847
437,2147,0.8743711599052854,0.5392335488775177,1.4338470097346088
438,2148,0.7640527719586196,0.5008943219640273,1.3681558420487943
439,2149,0.6676327366593556,0.4649293178673844,1.2839504381945284
440,2150,0.5868472869926796,0.43184895907117465,1.1730543658214356
441,2151,0.5201809590788641,0.39994171249267135,1.0389865688624866
442,2152,0.45995849380722426,0.36884853019565955,0.8937234613876415
443,2153,0.4038797153779694,0.34043351662386057,0.7547301014760143
444,2154,0.35132954199534117,0.3149596894982547,0.6329213195520685
445,2155,0.3033864888194597,0.29108962872940064,0.5278425756854822
446,2156,0.2610683589386579,0.2686003469553544,0.43866685568998015
447,2157,0.2292722633043704,0.2475352030707358,0.36659286814862757
448,2158,0.2014842690311336,0.2279037692443242,0.31179472695443156
449,2159,0.176616513317056,0.20964063485415896,0.27365641673038277
450,2160,0.1560890744107891,0.19270115412732897,0.2453129988788472
451,2161,0.13565922971940647,0.17695080132405372,0.2212095839306875
452,2162,0.11776018213853677,0.16219078070835857,0.1981636956867409
453,2163,0.10295837287809229,0.14853463377619142,0.1740792987148197
454,2164,0.08897697864895848,0.136014780542072,0.14986013088640554
455,2165,0.07718484482120978,0.12435344055148372,0.12659443236972465
456,2166,0.0667373547747829,0.1128240769184337,0.1033466192144897
457,2167,0.05732947395308885,0.10236584205268556,0.079956248767494
458,2168,0.04870243872341644,0.09322046983323876,0.05594767606178687
459,2169,0.04122911622031175,0.084877747447057,0.03251583154315534
460,2170,0.035581496250769305,0.07711024177304016,0.015493920347330523
461,2171,0.02980411787533667,0.06993566818891667,0.004827772451436769
462,2172,0.025552570574451382,0.06339107380568641,5.13550512870133e-05
463,2173,0.02191430378654482,0.05737493189723752,0.0
464,2174,0.018857127091825153,0.05192800774139959,0.0
465,2175,0.0171454009054177,0.04699049172769141,0.0
466,2176,0.01551743165953439,0.042503179520652315,0.0
467,2177,0.014036402910451466,0.03844208278589117,0.0
468,2178,0.012318534663410981,0.03473491159222192,0.0
469,2179,0.010728736788984611,0.03121765481707858,0.0
470,2180,0.009295681137292839,0.027886124251651156,0.0
471,2181,0.008108927870619781,0.02498719193464396,0.0
472,2182,0.00728097515079586,0.02218265502905131,0.0
473,2183,0.0064213356095788625,0.019759068444897526,0.0
474,2184,0.00571578068147886,0.017767593314935604,0.0
475,2185,0.004943697935702851,0.015918778463271624,0.0
476,2186,0.004245152293818073,0.014215583400936689,0.0
477,2187,0.0037004073387791664,0.01271800974354526,0.0
478,2188,0.0031486816759092985,0.011346863370239588,0.0
479,2189,0.0027407522286300163,0.01010106299559661,0.0
480,2190,0.00237189457107338,0.008984053921454682,0.0
481,2191,0.0019826511360108356,0.007983877604814662,0.0
482,2192,0.00168960918009173,0.00709151795870258,0.0
483,2193,0.001425357289325111,0.006296720347147107,0.0
484,2194,0.001151375347731138,0.005590156354282978,0.0
485,2195,0.000950487407668639,0.0049709599518375155,0.0
486,2196,0.0007733752843168043,0.004423647683063845,0.0
487,2197,0.0005943276563969998,0.003822594161070638,0.0
488,2198,0.0004681472656503611,0.0033131461330992555,0.0
489,2199,0.00036064408589182834,0.0029347139970040256,0.0
490,2200,0.0002561202946316134,0.002609042013660137,0.0
491,2201,0.00018712671234485153,0.002314408135254887,0.0
492,2202,0.00013165264009463353,0.0020359140521230344,0.0
493,2203,8.117881066611112e-05,0.0017818987395455314,0.0
494,2204,5.179623059167282e-05,0.0015542908314313739,0.0
495,2205,3.152966472048424e-05,0.0013548588648823658,0.0
496,2206,1.7468713450049628e-05,0.001172684119259206,0.0
497,2207,8.448212134215733e-06,0.001013161444771787,0.0
498,2208,3.3051047887538736e-06,0.0008775505018062883,0.0
499,2209,8.768618667518526e-07,0.0007553894034225566,0.0
500,2210,6.098106083533243e-08,0.0006516256489653703,0.0
501,2211,0.0,0.0005420578374985344,0.0
502,2212,0.0,0.0004488678314112925,0.0
503,2213,0.0,0.00037978198032650437,0.0
504,2214,0.0,0.0003239754678900071,0.0
505,2215,0.0,0.0002748466112396801,0.0
506,2216,0.0,0.00023274635706197196,0.0
507,2217,0.0,0.0001933482611448876,0.0
508,2218,0.0,0.00016066042851895374,0.0
509,2219,0.0,0.0001351104030327918,0.0
